 ! Fichier pour convertir les lettres grecques de Beta-Code en Utf-8 et réciproquement				
 ! Dans le sens Beta-Code --> utf-8, l'ordre a son importance :				
 ! - les lettres les plus décorées passent devant  !				
 ! Pour le sens utf-8 --> betacode, j'ai gardé les alpha […] with tonos,				
 ! qu'il ne faut pas utiliser (remplacés par alpha […] with oxia).				
 !				
 ! Philippe, juin 2014.				
 !				
a)|	U+1F80	ᾀ	225190128	GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI
a(|	U+1F81	ᾁ	225190129	GREEK SMALL LETTER ALPHA WITH DASIA AND YPOGEGRAMMENI
h)|	U+1F90	ᾐ	225190144	GREEK SMALL LETTER ETA WITH PSILI AND YPOGEGRAMMENI
h(|	U+1F91	ᾑ	225190145	GREEK SMALL LETTER ETA WITH DASIA AND YPOGEGRAMMENI
w)|	U+1FA0	ᾠ	225190160	GREEK SMALL LETTER OMEGA WITH PSILI AND YPOGEGRAMMENI
w(|	U+1FA1	ᾡ	225190161	GREEK SMALL LETTER OMEGA WITH DASIA AND YPOGEGRAMMENI
a=|	U+1FB7	ᾷ	225190183	GREEK SMALL LETTER ALPHA WITH PERISPOMENI AND YPOGEGRAMMENI
a\|	U+1FB2	ᾲ	225190178	GREEK SMALL LETTER ALPHA WITH VARIA AND YPOGEGRAMMENI
a/|	U+1FB4	ᾴ	225190180	GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
*\a	U+1FBA	Ὰ	225190186	GREEK CAPITAL LETTER ALPHA WITH VARIA
*/a	U+1FBB	Ά	225190187	GREEK CAPITAL LETTER ALPHA WITH OXIA
*a|	U+1FBC	ᾼ	225190188	GREEK CAPITAL LETTER ALPHA WITH PROSGEGRAMMENI
h=|	U+1FC7	ῇ	225191135	GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI
h\|	U+1FC2	ῂ	225191130	GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI
h/|	U+1FC4	ῄ	225191132	GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
*\e	U+1FC8	Ὲ	225191136	GREEK CAPITAL LETTER EPSILON WITH VARIA
*/e	U+1FC9	Έ	225191137	GREEK CAPITAL LETTER EPSILON WITH OXIA
*\h	U+1FCA	Ὴ	225191138	GREEK CAPITAL LETTER ETA WITH VARIA
*/h	U+1FCB	Ή	225191139	GREEK CAPITAL LETTER ETA WITH OXIA
*h|	U+1FCC	ῌ	225191140	GREEK CAPITAL LETTER ETA WITH PROSGEGRAMMENI
i=+	U+1FD7	ῗ	225191151	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND PERISPOMENI
i\+	U+1FD2	ῒ	225191146	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND VARIA
i/+	U+1FD3	ΐ	225191147	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
*\i	U+1FDA	Ὶ	225191154	GREEK CAPITAL LETTER IOTA WITH VARIA
*/i	U+1FDB	Ί	225191155	GREEK CAPITAL LETTER IOTA WITH OXIA
u\+	U+1FE2	ῢ	225191162	GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND VARIA
u/+	U+1FE3	ΰ	225191163	GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND OXIA
u=+	U+1FE7	ῧ	225191167	GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND PERISPOMENI
*\u	U+1FEA	Ὺ	225191170	GREEK CAPITAL LETTER UPSILON WITH VARIA
*/u	U+1FEB	Ύ	225191171	GREEK CAPITAL LETTER UPSILON WITH OXIA
*(r	U+1FEC	Ῥ	225191172	GREEK CAPITAL LETTER RHO WITH DASIA
w=|	U+1FF7	ῷ	225191183	GREEK SMALL LETTER OMEGA WITH PERISPOMENI AND YPOGEGRAMMENI
w\|	U+1FF2	ῲ	225191178	GREEK SMALL LETTER OMEGA WITH VARIA AND YPOGEGRAMMENI
w/|	U+1FF4	ῴ	225191180	GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
*\o	U+1FF8	Ὸ	225191184	GREEK CAPITAL LETTER OMICRON WITH VARIA
*/o	U+1FF9	Ό	225191185	GREEK CAPITAL LETTER OMICRON WITH OXIA
*\w	U+1FFA	Ὼ	225191186	GREEK CAPITAL LETTER OMEGA WITH VARIA
*/w	U+1FFB	Ώ	225191187	GREEK CAPITAL LETTER OMEGA WITH OXIA
*w|	U+1FFC	ῼ	225191188	GREEK CAPITAL LETTER OMEGA WITH PROSGEGRAMMENI
 !
 ! Avec TONOS
 !
*/a	U+0386	Ά	206134	GREEK CAPITAL LETTER ALPHA WITH TONOS
*/e	U+0388	Έ	206136	GREEK CAPITAL LETTER EPSILON WITH TONOS
*/h	U+0389	Ή	206137	GREEK CAPITAL LETTER ETA WITH TONOS
*/i	U+038A	Ί	206138	GREEK CAPITAL LETTER IOTA WITH TONOS
*/o	U+038C	Ό	206140	GREEK CAPITAL LETTER OMICRON WITH TONOS
*/u	U+038E	Ύ	206142	GREEK CAPITAL LETTER UPSILON WITH TONOS
*/w	U+038F	Ώ	206143	GREEK CAPITAL LETTER OMEGA WITH TONOS
i/+	U+0390	ΐ	206144	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
*+i	U+03AA	Ϊ	206170	GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
*+u	U+03AB	Ϋ	206171	GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
u/+	U+03B0	ΰ	206176	GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
 !				
 ! 2 caractères				
 !				
*a	U+0391	Α	206145	GREEK CAPITAL LETTER ALPHA
*b	U+0392	Β	206146	GREEK CAPITAL LETTER BETA
*g	U+0393	Γ	206147	GREEK CAPITAL LETTER GAMMA
*d	U+0394	Δ	206148	GREEK CAPITAL LETTER DELTA
*e	U+0395	Ε	206149	GREEK CAPITAL LETTER EPSILON
*z	U+0396	Ζ	206150	GREEK CAPITAL LETTER ZETA
*h	U+0397	Η	206151	GREEK CAPITAL LETTER ETA
